"OriginalURL","CleanDomain","IP","TLD","IsValid","IsUSLikely","Status"
"https://www.womensmosque.ca/","womensmosque.ca","185.230.63.107","womensmosque.ca","True","False","Non-US (womensmosque.ca)"
"https://ridgemeadowsracers.wixsite.com/rmssa","ridgemeadowsracers.wixsite.com",,"ridgemeadowsracers.wixsite.com","True","False","Non-US (ridgemeadowsracers.wixsite.com)"
"ninhocultural.com.br","ninhocultural.com.br","104.21.16.1","ninhocultural.com.br","True","False","Non-US (ninhocultural.com.br)"
"SuperiorHousingSolutions.org","superiorhousingsolutions.org","N/A","superiorhousingsolutions.org","False","False","Failed"
"www.friendsofthepasadenaplayhouse.org","friendsofthepasadenaplayhouse.org","66.96.147.144","friendsofthepasadenaplayhouse.org","True","False","Non-US (friendsofthepasadenaplayhouse.org)"
"www.thepeernetwork.org","thepeernetwork.org","217.160.0.241","thepeernetwork.org","True","False","Non-US (thepeernetwork.org)"
"https://corpaliv.cl","corpaliv.cl","162.213.209.162","corpaliv.cl","True","False","Non-US (corpaliv.cl)"
"Www.ajfirst.org","ajfirst.org","15.197.132.55","ajfirst.org","True","False","Non-US (ajfirst.org)"
"www.vtarr.org","vtarr.org","3.214.232.61","vtarr.org","True","False","Non-US (vtarr.org)"
"https://www.facebook.com/ac4coc/","facebook.com","157.240.229.35","facebook.com","True","False","Non-US (facebook.com)"
"https://www.holymountainchurch.com/","holymountainchurch.com","185.230.63.186","holymountainchurch.com","True","False","Non-US (holymountainchurch.com)"
"www.jcikortrijk.be","jcikortrijk.be","192.0.78.24","jcikortrijk.be","True","False","Non-US (jcikortrijk.be)"
"https://bugcrowd.com/pattystackzz","bugcrowd.com","151.101.66.132","bugcrowd.com","True","False","Non-US (bugcrowd.com)"
"http://www.advanceglobalmissions.org","advanceglobalmissions.org","N/A","advanceglobalmissions.org","False","False","Failed"
"https://www.sycamoreschools.org/domain/648","sycamoreschools.org","104.17.71.73","sycamoreschools.org","True","False","Non-US (sycamoreschools.org)"
"www.cvartsfoundation.org","cvartsfoundation.org","35.212.21.24","cvartsfoundation.org","True","False","Non-US (cvartsfoundation.org)"
"https://www.boee.nz","boee.nz","23.236.62.147","boee.nz","True","False","Non-US (boee.nz)"
"http://www.fttc.co.nz","fttc.co.nz","185.230.63.171","fttc.co.nz","True","False","Non-US (fttc.co.nz)"
"http://www.andhealth.com.au","andhealth.com.au","99.83.190.102","andhealth.com.au","True","False","Non-US (andhealth.com.au)"
"https://openforumeurope.org/","openforumeurope.org","136.243.169.53","openforumeurope.org","True","False","Non-US (openforumeurope.org)"
"https://www.mogu27.ru/","mogu27.ru","45.130.41.24","mogu27.ru","True","False","Non-US (mogu27.ru)"
"https://www.coopmultiforme.com/","coopmultiforme.com","89.46.105.96","coopmultiforme.com","True","False","Non-US (coopmultiforme.com)"
"https://www.federtennis.it","federtennis.it","52.155.172.27","federtennis.it","True","False","Non-US (federtennis.it)"
"http://www.teenchallenge.it","teenchallenge.it","89.46.110.17","teenchallenge.it","True","False","Non-US (teenchallenge.it)"
"https://esciaps.it","esciaps.it","N/A","esciaps.it","False","False","Failed"
"dnozwolle.nl","dnozwolle.nl","N/A","dnozwolle.nl","False","False","Failed"
